SKU,ItemDescription,CumulativeUnitsCanada,Province,CustomerNo,CustomerName,SalesRep,Currency,PostingDate,OrderQuantity,AmountExclVAT,AmountInclVAT
10202-030,"Baveno, 1 Light LED Pendant, Painted Antique Brass",3,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-05-16,2.0,456.0,478.8
10203-02,"Baveno, 3 Light Round LED Pendant, Matte Black",4,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-03-21,1.0,545.0,572.25
10203-02,"Baveno, 3 Light Round LED Pendant, Matte Black",4,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-10-24,1.0,545.0,572.25
10203-02,"Baveno, 3 Light Round LED Pendant, Matte Black",4,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-05-14,2.0,872.0,915.6
10203-030,"Baveno, 3 Light Round LED Pendant, Painted Antique Brass",12,AB,C00345,Dhillon Lighting - Edmonton,MR - Luminescence,CAD,2025-03-14,1.0,545.0,572.25
10203-030,"Baveno, 3 Light Round LED Pendant, Painted Antique Brass",12,AB,C00146,Robinson - Edmonton,MR - Luminescence,CAD,2025-03-28,1.0,545.0,572.25
10203-030,"Baveno, 3 Light Round LED Pendant, Painted Antique Brass",12,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-01-17,3.0,1374.3,1443.01
10203-030,"Baveno, 3 Light Round LED Pendant, Painted Antique Brass",12,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-08-08,1.0,545.0,572.25
10203-030,"Baveno, 3 Light Round LED Pendant, Painted Antique Brass",12,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-06-27,2.0,1090.0,1144.5
10203-030,"Baveno, 3 Light Round LED Pendant, Painted Antique Brass",12,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-01-30,1.0,509.0,534.45
10203-030,"Baveno, 3 Light Round LED Pendant, Painted Antique Brass",12,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-05-14,1.0,436.0,457.8
10203-030,"Baveno, 3 Light Round LED Pendant, Painted Antique Brass",12,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-01-21,2.0,865.3,908.56
10204-02,"Baveno, 9 Light Round LED Chandelier, Matte Black",6,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-07-21,1.0,1018.55,1069.47
10204-02,"Baveno, 9 Light Round LED Chandelier, Matte Black",6,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-07-18,2.0,3134.0,3290.7
10204-02,"Baveno, 9 Light Round LED Chandelier, Matte Black",6,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-05-14,1.0,1253.6,1316.28
10204-02,"Baveno, 9 Light Round LED Chandelier, Matte Black",6,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-01-21,2.0,2487.1,2611.45
10204-24-13-02,"Baveno 13 Light LED Chandelier, Matte Black",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-03-14,1.0,2100.0,2205.0
10204-030,"Baveno, 9 Light Round LED Chandelier, Painted Antique Brass",3,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-10-10,1.0,1567.0,1645.35
10204-030,"Baveno, 9 Light Round LED Chandelier, Painted Antique Brass",3,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-01-17,1.0,1316.7,1382.54
10204-030,"Baveno, 9 Light Round LED Chandelier, Painted Antique Brass",3,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-02-18,1.0,1567.0,1645.35
10205-02,"Baveno, 19 Light Round LED Chandelier, Matte Black",5,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-04-04,1.0,3874.0,4067.7
10205-02,"Baveno, 19 Light Round LED Chandelier, Matte Black",5,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-07-21,1.0,3292.9,3457.55
10205-02,"Baveno, 19 Light Round LED Chandelier, Matte Black",5,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-05-14,3.0,9297.6,9762.48
10205-030,"Baveno, 19 Light Round LED Chandelier, Painted Antique Brass",1,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-07-11,1.0,3874.0,4067.7
10206-030,"Baveno, 31 Light LED Grand Chandelier, Painted Antique Brass",1,AB,C00345,Dhillon Lighting - Edmonton,MR - Luminescence,CAD,2025-06-06,1.0,4293.1,4507.75
10207-02,"Baveno, 8 Light Rectangular LED Chandelier, Matte Black",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-04-04,1.0,1413.0,1483.65
10207-02-02-5K,"Baveno, 8 Light Rectangular LED Chandelier, Matte Black",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-07-29,1.0,1813.0,1903.65
10207-030,"Baveno, 8 Light Rectangular LED Chandelier, Painted Antique Brass",2,AB,C00146,Robinson - Edmonton,MR - Luminescence,CAD,2025-06-27,1.0,1413.0,1483.65
10207-030,"Baveno, 8 Light Rectangular LED Chandelier, Painted Antique Brass",2,AB,C00146,Robinson - Edmonton,MR - Luminescence,CAD,2025-02-19,1.0,1413.0,1483.65
10208-02,"Baveno, 5 Light Linear LED Chandelier, Matte Black",7,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-11-04,3.0,2481.3,2605.37
10208-02,"Baveno, 5 Light Linear LED Chandelier, Matte Black",7,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-05-14,2.0,1470.4,1543.92
10208-02,"Baveno, 5 Light Linear LED Chandelier, Matte Black",7,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-03-13,1.0,919.0,964.95
10208-02,"Baveno, 5 Light Linear LED Chandelier, Matte Black",7,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-02-20,1.0,1033.0,1084.65
10209-030,"Baveno, 14 Light Rectangular LED Chandelier, Painted Antique Brass",1,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-06-13,1.0,2273.0,2386.65
10209-59-45-02,"Baveno, 45 Light Chandelier, Matte Black",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-02-24,1.0,10000.0,10500.0
10211-02,"Manarola, 1 Light LED pendant, Matte Black",12,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-02-24,3.0,540.6,567.63
10211-02,"Manarola, 1 Light LED pendant, Matte Black",12,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-01-31,2.0,424.0,445.2
10211-02,"Manarola, 1 Light LED pendant, Matte Black",12,AB,C00146,Robinson - Edmonton,MR - Luminescence,CAD,2025-02-19,1.0,148.4,155.82
10211-02,"Manarola, 1 Light LED pendant, Matte Black",12,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-01-17,2.0,381.6,400.68
10211-02,"Manarola, 1 Light LED pendant, Matte Black",12,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-02-24,4.0,720.8,756.84
10211-030,"Manarola, 1 Light LED pendant, Painted Antique Brass",13,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-02-26,3.0,540.6,567.63
10211-030,"Manarola, 1 Light LED pendant, Painted Antique Brass",13,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-10-31,3.0,636.0,667.8
10211-030,"Manarola, 1 Light LED pendant, Painted Antique Brass",13,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-02-26,4.0,720.8,756.84
